"RecordDate","Sentiment","Author","AuthorID","ScreenName","ChannelGroupID","IsBrandPost","PostType","BrandName","InfluencerCategory","IsAuthorInfluencer"
2023-12-16,Neutral,Anonymous,"0",,2,0,2,TATADigital,,0
2023-12-16,Neutral,Kushwanth Iylu,"1064791727553146881",IyluKushwanth,1,0,8,TATADigital,,0
2023-12-16,Neutral,Suraj kr Mahato,"1034979082033741824",SurajkrMahato6,1,0,6,TATADigital,,0
2023-12-16,Positive,aditak.eth📍🧘‍♂️🏠 | Aditya Tak,"1208055189019561984",adi_tak_,1,0,11,TATADigital,,0
2023-12-16,Positive,harshuuu,"1087596523238506496",harish2youu,1,0,8,TATADigital,,0
2023-12-16,Neutral,Ananda Ghorai,"100894291347544",,2,0,2,TATADigital,,0
2023-12-16,Negative,Rupesh Jha,"100676747",rupesjha,1,0,6,TATADigital,,0
2023-12-16,Neutral,GOLE Achiver,"106650081650393",,2,0,2,TATADigital,,0
2023-12-16,Neutral,Anonymous,"0",,2,0,2,TATADigital,,0
2023-12-16,Positive,𝓢ô𝓷𝓰 𝓕𝓝𝓕,"114096338276241",,2,0,2,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,freeconsumerservice,"1261234975510163457",service_fc,1,0,8,TATADigital,Verified Users on Twitter,1
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Positive,*Agr!cu|tr!$t🌾$@!n@thPu||ur! |పుల్లూరి సాయినాథ్*,"1017970105521561601",SainathPulluri9,1,0,8,TATADigital,,0
2023-12-16,Negative,Rupesh Jha,"100676747",rupesjha,1,0,6,TATADigital,,0
2023-12-16,Neutral,Pushpa🪓,"1212313528410890240",thesurya23,1,0,11,TATADigital,,0
2023-12-16,Neutral,Vijay Tambe,"10021020791305262",,2,0,4,TATADigital,,0
2023-12-16,Neutral,ASHWANI PRATAP SINGH,"1208647121047416832",Im__raj___,1,0,8,TATADigital,,0
2023-12-16,Neutral,"Tata Neu - Shop, Travel, Pay","1584669293",,30,1,13,TATADigital,,0
2023-12-16,Negative,Saroj kumar Pradhan,"1515410976753209344",Sarojkumarjnp,1,0,11,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,1,TATADigital,,0
