"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-11-30,432588,6954,4,4,1,,-3,TATADigital
2023-11-30,432589,6954,,42849,1,,15831,TATADigital
2023-11-30,432590,6954,40831,40831,1,,15832,TATADigital
2023-11-30,432591,6954,,40874,1,,13250,TATADigital
2023-11-30,432592,6954,,40756,1,,13250,TATADigital
2023-11-30,432593,6954,,39520,1,,13250,TATADigital
2023-12-16,450441,6954,51249,51249,1,,15833,TATADigital
2023-12-16,450442,6954,,22660,1,,15831,TATADigital
2023-12-16,450443,6954,41990,41990,1,,15832,TATADigital
2023-12-16,450444,6954,,39291,1,,15832,TATADigital
2023-12-16,450445,6954,29462,29462,1,,15831,TATADigital
2023-12-16,450446,6954,28781,28781,1,,15831,TATADigital
2023-12-16,450435,6954,,39838,1,,15832,TATADigital
2023-12-16,450436,6954,41430,130664,1,,15832,TATADigital
2023-12-16,450437,6954,29674,29674,1,,15831,TATADigital
2023-12-16,450438,6954,37986,37986,1,,15832,TATADigital
2023-12-16,450439,6954,42315,42315,1,,15832,TATADigital
2023-12-16,450440,6954,38516,130310,1,,15835,TATADigital
2023-12-16,440431,6954,55673,55896,1,,15835,TATADigital
2023-12-16,440432,6954,42059,42059,1,,15831,TATADigital
2023-12-16,450431,6954,37383,37602,1,,15833,TATADigital
2023-12-16,450432,6954,43405,43405,1,,15835,TATADigital
2023-12-16,450433,6954,45683,45683,1,,15835,TATADigital
2023-12-16,450434,6954,47458,237997,1,,15834,TATADigital
2023-12-16,440425,6954,304,304,1,,15834,TATADigital
2023-12-16,440426,6954,185,185,1,,15834,TATADigital
2023-12-16,440427,6954,,130,1,,15834,TATADigital
2023-12-16,440428,6954,434,434,1,,15834,TATADigital
2023-12-16,440429,6954,13,13,1,,-3,TATADigital
2023-12-16,440430,6954,225,225,1,,15834,TATADigital
2023-12-16,440419,6954,7,7,1,,-3,TATADigital
2023-12-16,440420,6954,118,118,1,,15832,TATADigital
2023-12-16,440421,6954,66,66,1,,15832,TATADigital
2023-12-16,440422,6954,505,505,1,,15834,TATADigital
2023-12-16,440423,6954,,229,1,,15834,TATADigital
2023-12-16,440424,6954,199,199,1,,15834,TATADigital
2023-12-16,440413,6954,268,268,1,,15834,TATADigital
