RecordDate,Sentiment,Author,AuthorID,ScreenName,ChannelGroupName,ChannelName,IsBrandPost,PostType,BrandName,IsInfluencer,InfluencerCategory
2023-12-16,Positive,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-16,Positive,vaibhav,1673282987905908736,vaibhav37651826,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-16,Positive,Nishant Pathare,1503271325343023104,Pathare3Nishant,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-15,Neutral,Pratiksha Pohakar,1593500509666615296,PratikshaPohak2,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-15,Neutral,Pratiksha Pohakar,1593500509666615296,PratikshaPohak2,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-14,Neutral,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,123brandtest,0,NULL
2023-12-13,Positive,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Positive,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Amit Nayak,1722510763489886208,Amit_nonconfig,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Karan Depale,1711590698775101440,karanloco,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Positive,Rahul Parab,1675733220204204033,RahulParab9070,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Positive,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,,801008822974152704,parivellisandee,Twitter,Brand Tweets,1,10,act2testing,1,Police
2023-12-13,Neutral,,801008822974152704,parivellisandee,Twitter,Brand Tweets,1,10,act2testing,1,Police
2023-12-13,Neutral,,801008822974152704,parivellisandee,Twitter,Brand Tweets,1,10,act2testing,1,Police
2023-12-13,Neutral,,801008822974152704,parivellisandee,Twitter,Brand Tweets,1,10,act2testing,1,Police
2023-12-13,Neutral,Rahul Parab,1675733220204204033,RahulParab9070,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Pratik Patil,1532241237314781185,PratikP24690619,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,vaibhav,1673282987905908736,vaibhav37651826,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Rahul Parab,1675733220204204033,RahulParab9070,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Prajwal gunjal,1698919205553479680,Prajwalgunjal23,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Pratik Patil,1532241237314781185,PratikP24690619,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Positive,vaibhav,1673282987905908736,vaibhav37651826,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Neutral,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
2023-12-13,Positive,Amit Nayak,1711591846043086848,AmitLocobuzz,Twitter,Twitter brand mention,0,2,13thBrand,0,NULL
